Student_ID,Age,Gender,Study_Hours_per_Week,Preferred_Learning_Style,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate (%),Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Final_Grade,Exam_Performance,Sleep_Category,Cluster,Exam_Performance_Category
S00001,18,Female,48,Kinesthetic,14,Yes,100,69,66,Yes,High,9,8,C,Sedang,Lebih,2,Sedang
S00002,29,Female,30,Reading/Writing,20,No,71,40,57,Yes,Medium,28,8,D,Rendah,Lebih,0,Rendah
S00003,20,Female,47,Kinesthetic,11,No,60,43,79,Yes,Low,13,7,D,Rendah,Ideal,2,Rendah
S00004,23,Female,13,Auditory,0,Yes,63,70,60,Yes,Low,24,10,B,Sedang,Lebih,1,Baik
S00005,19,Female,24,Auditory,19,Yes,59,63,93,Yes,Medium,26,8,C,Sedang,Lebih,1,Sedang
S00006,28,Female,26,Kinesthetic,5,Yes,63,54,80,No,High,25,8,D,Sedang,Lebih,0,Sedang
S00007,19,Female,49,Reading/Writing,13,Yes,91,44,66,Yes,Low,30,10,D,Rendah,Lebih,2,Rendah
S00008,27,Male,14,Reading/Writing,5,Yes,88,56,76,Yes,Low,4,6,C,Sedang,Ideal,0,Sedang
S00009,22,Male,45,Visual,16,No,52,78,70,No,Low,26,9,B,Baik,Lebih,2,Baik
S00010,28,Other,35,Auditory,7,No,100,55,100,No,Medium,5,9,C,Sedang,Lebih,0,Sedang
S00011,23,Male,40,Kinesthetic,20,No,74,44,93,No,Medium,15,10,D,Rendah,Lebih,2,Rendah
S00012,23,Male,14,Visual,18,Yes,77,56,74,No,High,9,6,C,Sedang,Ideal,1,Sedang
S00013,23,Female,24,Visual,4,No,67,73,93,Yes,Medium,28,7,B,Baik,Ideal,1,Baik
S00014,27,Male,44,Reading/Writing,20,No,80,60,51,Yes,Low,27,6,C,Sedang,Ideal,0,Sedang
S00015,22,Other,10,Reading/Writing,17,Yes,67,71,55,Yes,High,28,8,B,Baik,Lebih,1,Baik
S00016,25,Female,28,Reading/Writing,13,Yes,85,90,76,Yes,Medium,5,8,A,Sangat Baik,Lebih,0,Sangat Baik
S00017,19,Male,11,Visual,20,Yes,81,93,93,No,Medium,6,9,A,Sangat Baik,Lebih,1,Sangat Baik
